53.html	2565	Nintendo Shows Zelda: Breath of the Wild Running on Nintendo Switch - IGN	http://www.ign.com/articles/2016/12/08/nintendo-shows-zelda-breath-of-the-wild-running-on-nintendo-switch
1559.html	10742	10 of the Best Oculus Rift Games - YouTube	https://www.youtube.com/watch?v=Pq15ludplTg
771.html	2444	PlayStation VR Review - IGN	http://www.ign.com/articles/2016/10/05/playstation-vr-review?watch
27.html	14117	  IGN
 - YouTube	https://www.youtube.com/ign
26.html	2538	Blogs About Video Games, Movies, TV, Comics at IGN	http://www.ign.com/blogs
436.html	1920	Gravity Rush 2 - PlayStation 4 - IGN	http://www.ign.com/games/gravity-rush-2/ps4-143643
1522.html	14397	Destiny: The Dawning Announcement Trailer - PSX 2016 - YouTube	https://www.youtube.com/watch?v=SK50YoUcFhA
1553.html	14708	Top 10 Worst Weapons in Video Games - YouTube	https://www.youtube.com/watch?v=ol7Pu4fr2z0&list=PLraFbwCoisJDZ8ZpheC4BOvxI2ithckux
85.html	1673	Former Pilot and Astronaut John Glenn Dies at 95 - IGN	http://www.ign.com/articles/2016/12/09/former-pilot-and-astronaut-john-glenn-dies-at-95
59.html	3155	Daily Deals: Oculus Rift, Miyazaki Movies, PS4 With Free PS Plus - IGN	http://www.ign.com/articles/2016/12/08/daily-deals-oculus-rift-miyazaki-movies-ps4-with-free-ps-plus/
922.html	2057	Dishonored 2 - PC - IGN	http://www.ign.com/games/dishonored-2/pc-20038694
1658.html	4703	IGN (@IGN) | Twitter	https://twitter.com/IGN?lang=ro
120.html	1635	Dinosaur Tail Discovered Preserved in Amber, Feathers and All - IGN	http://www.ign.com/articles/2016/12/08/dinosaur-tail-discovered-preserved-in-amber-feathers-and-all?read
255.html	2560	Ash vs Evil Dead: "Home Again" Review - IGN	http://www.ign.com/articles/2016/12/05/ash-vs-evil-dead-home-again-review
1569.html	13612	Top 10 Disgusting Enemies in Video Games - YouTube	https://www.youtube.com/watch?v=UuTTnxhmdcQ
1567.html	9520	GTA X Scripting	http://gtaxscripting.blogspot.com/
